RISM_ID,ID,128b,128c
850600001,IT\ICCU\MUS\0053126,4V,"S,A,T,B"
850600002,IT\ICCU\MUS\0053127,4V,""
850600003,IT\ICCU\MUS\0053128,4V,"S,A,T,B"
850600004,IT\ICCU\MUS\0053129,4V,"C,C,C,A"
850600005,IT\ICCU\MUS\0053130,4V,"S,A,T,B"
850600006,IT\ICCU\MUS\0053131,4V,"S,A,T,B"
850600007,IT\ICCU\MUS\0053132,4V,""
850600008,IT\ICCU\MUS\0053133,4V,"S,A,T,B"
850600009,IT\ICCU\MUS\0053134,4V,"S,A,T,B"
850600010,IT\ICCU\MUS\0053135,3V,"S,T,B"
850600011,IT\ICCU\MUS\0053136,4V,"S,T,A,B"
850600012,IT\ICCU\MUS\0053137,3V,"S,T,B"
850600013,IT\ICCU\MUS\0053138,4V,""
850600014,IT\ICCU\MUS\0053139,3V,"S,A,B"
850600015,IT\ICCU\MUS\0053140,4V,"S,A,T,B"
850600016,IT\ICCU\MUS\0053112,4V,"S,T,A,B"
850600017,IT\ICCU\MUS\0053113,4V,""
850600018,IT\ICCU\MUS\0053114,4V,"S,T,A,B"
850600019,IT\ICCU\MUS\0053115,4V,"S,A,T,B"
850600020,IT\ICCU\MUS\0053116,4V,"S,A,T,B"
850600021,IT\ICCU\MUS\0053117,4V,"S,T,A,B"
850600022,IT\ICCU\MUS\0053118,4V,"S,T,A,B"
850600023,IT\ICCU\MUS\0053119,4V,""
850600024,IT\ICCU\MUS\0053120,4V,"S,T,A,B"
850600025,IT\ICCU\MUS\0053121,4V,"S,A,T,B"
850600026,IT\ICCU\MUS\0053122,4V,"S,A,T,B"
850600027,IT\ICCU\MUS\0053124,3V,"S,A,T"
850600028,IT\ICCU\MUS\0053125,4V,"S,A,T,B"
850600029,IT\ICCU\MUS\0053141,4V,"S,A,A,T"
850600030,IT\ICCU\MUS\0053142,4V,"S,A,T,B"
850600031,IT\ICCU\MUS\0053143,4V,"S,A,T,B"
850600032,IT\ICCU\MUS\0053144,4V,"S,A,T,B"
850600033,IT\ICCU\MUS\0053145,4V,"A,T,T,B"
850600034,IT\ICCU\MUS\0053146,4V,"A,A,T,B"
850600035,IT\ICCU\MUS\0053147,4V,"S,S,A,T"
850600036,IT\ICCU\MUS\0053148,4V,"C,C,A,T"
850600037,IT\ICCU\MUS\0053149,4V,"S,S,T,A"
850600038,IT\ICCU\MUS\0053150,4V,"S,Mzs,A,B"
850600039,IT\ICCU\MUS\0053151,4V,"S,S,A,T"
850600040,IT\ICCU\MUS\0053152,4V,"T,T,B,B"
850600041,IT\ICCU\MUS\0053153,4V,"S,A,T,B"
850600042,IT\ICCU\MUS\0053154,4V,""
850600043,IT\ICCU\MUS\0053155,4V,"A,T,T,B"
850600044,IT\ICCU\MUS\0053156,4V,"A,T,T,B"
850600045,IT\ICCU\MUS\0053157,4V,"S,A,T,B"
850600046,IT\ICCU\MUS\0053158,4V,"A,A,T,B"
850600047,IT\ICCU\MUS\0053159,4V,"A,A,T,B"
850600048,IT\ICCU\MUS\0053160,4V,"S,A,T,B"
850600049,IT\ICCU\MUS\0053161,4V,"S,A,T,B"
850600050,IT\ICCU\MUS\0053162,4V,"S,A,T,B"
850600051,IT\ICCU\MUS\0053163,4V,"S,A,T,B"
