RISM_ID,ID,200a_f
850600001,IT\ICCU\MUS\0053126,O Admirabile Cummercium | Costantini
850600002,IT\ICCU\MUS\0053127,In Circumcisione | [Trascrizione di Siro Cisilino]
850600003,IT\ICCU\MUS\0053128,Dicunt infantes | Jac. Handl
850600004,IT\ICCU\MUS\0053129,Innocentes Pro Christo | Palestrina
850600005,IT\ICCU\MUS\0053130,Innocentes Pro Christo | Marenzio
850600006,IT\ICCU\MUS\0053131,Vox in Rama audita est | Clemens Non Papa
850600007,IT\ICCU\MUS\0053132,S. S. Innocentium M. M. | [Trascrizione di Siro Cisilino]
850600008,IT\ICCU\MUS\0053133,Valde honorandus est | Pierluigi  Da Palestrina
850600009,IT\ICCU\MUS\0053134,Iste est Joannes | Marenzio
850600010,IT\ICCU\MUS\0053135,Hic est beatissimus Evangelista | Nanini
850600011,IT\ICCU\MUS\0053136,Sepelierunt Stephanum | Luca Marenzio
850600012,IT\ICCU\MUS\0053137,Lapidabant Stephanum | Gio. Ma. Nanini
850600013,IT\ICCU\MUS\0053138,Sancti Stephani | [Trascrizione di Siro Cisilino]
850600014,IT\ICCU\MUS\0053139,Pastores Loquebantur | Alessandro Costantini
850600015,IT\ICCU\MUS\0053140,Hodie apparuit in Israel | Orlando  Di Lasso
850600016,IT\ICCU\MUS\0053112,Hodie beata virgo Maria | Marenzio
850600017,IT\ICCU\MUS\0053113,In purificazione B.V. | [Trascrizione di Siro Cisilino]
850600018,IT\ICCU\MUS\0053114,Dextera Domini | Orlando Di Lasso
850600019,IT\ICCU\MUS\0053115,Jubilate Deo | Orlando  Di Lasso
850600020,IT\ICCU\MUS\0053116,Ab Oriente venerunt Magi | Jac. Handl
850600021,IT\ICCU\MUS\0053117,Tribus miraculis | Marenzio
850600022,IT\ICCU\MUS\0053118,Videntes stellam | Claudio Goudimel
850600023,IT\ICCU\MUS\0053119,In Epiphania Domini  | [Trascrizione di Siro Cisilino]
850600024,IT\ICCU\MUS\0053120,Jesu dulcis memoria | Da_Vittoria
850600025,IT\ICCU\MUS\0053121,O bone Jesu | Palestrina
850600026,IT\ICCU\MUS\0053122,Jesu decus Angelicum | Ercole Pasquini
850600027,IT\ICCU\MUS\0053124,Ecce Maria genuit | Di Lasso
850600028,IT\ICCU\MUS\0053125,Magnum hereditatis misterium | Marenzio
850600029,IT\ICCU\MUS\0053141,Pueri concinite | Jac. Handl
850600030,IT\ICCU\MUS\0053142,Natus est nobis Deus de Deo | Jac. Handl
850600031,IT\ICCU\MUS\0053143,Hodie nobis de coelo | Costanzo Porta
850600032,IT\ICCU\MUS\0053144,O magnum mysterium | C.L. Da_Vittoria
850600033,IT\ICCU\MUS\0053145,Ecce iam venit plenitudo | Giuseppe Zarlino
850600034,IT\ICCU\MUS\0053146,Ecce enim evangelizo | Marco Antonio Ingegneri
850600035,IT\ICCU\MUS\0053147,Hodie Christus Natus Est | Bernardino Nanini
850600036,IT\ICCU\MUS\0053148,Hodie Christus natus est | Turini
850600037,IT\ICCU\MUS\0053149,Hodie Christus natus est | Pierluigi  Da Palestrina
850600038,IT\ICCU\MUS\0053150,Hodie Christus natus est | Luca Marenzio
850600039,IT\ICCU\MUS\0053151,Hodie nobis coelorum rex | Nanini
850600040,IT\ICCU\MUS\0053152,Dies sanctificatus | Costanzo Porta
850600041,IT\ICCU\MUS\0053153,Missa Dies sanctificatus | Pierluigi  Da Palestrina
850600042,IT\ICCU\MUS\0053154,In Nativitate Domini | [Trascrizione di Siro Cisilino]
850600043,IT\ICCU\MUS\0053155,Ave Maria | Alb. Jepkens
850600044,IT\ICCU\MUS\0053156,Ave Maria alta stirps | Orlando  Di Lasso
850600045,IT\ICCU\MUS\0053157,Ave Maria | Tommaso Ludovico Vittoria
850600046,IT\ICCU\MUS\0053158,Ave Maria | Pierluigi  Da Palestrina
850600047,IT\ICCU\MUS\0053159,Ave Maria | Pierluigi  Da Palestrina
850600048,IT\ICCU\MUS\0053160,Ave Maria | Pompeo Canniciari
850600049,IT\ICCU\MUS\0053161,Ave Maria | Giovanni Battista Casali
850600050,IT\ICCU\MUS\0053162,Ave Maria | Giovanni Nasco
850600051,IT\ICCU\MUS\0053163,Ave Maria | Cornelio Verdonch
850600052,IT\ICCU\MUS\0053164,Ave Maria | Jac. Arcadelt
850600053,IT\ICCU\MUS\0053165,De coelo veniet | Jac. Handl
850600054,IT\ICCU\MUS\0053166,Egredietur Virga | Jac. Handl
