ID,FIELD
IT\ICCU\MUS\0073987,Suspire...
IT\ICCU\MSM\0255079,Là ci darem la mano
IT\ICCU\MSM\0255080,Che dolce clima è questo
IT\ICCU\MSM\0000732,Kyrie e Gloria.
IT\ICCU\MSM\0000804,Kyrie e Gloria.
IT\ICCU\MSM\0000807,Kyrie e Gloria.
IT\ICCU\MSM\0001072,Gloria
IT\ICCU\MSM\0000845,*Nisi dominus
IT\ICCU\MSM\0001073,Laudamus te
IT\ICCU\MSM\0001177,Scelta
IT\ICCU\MSM\0001286,"Kyrie, Gloria"
IT\ICCU\MSM\0001310,Et ex Patre natum
IT\ICCU\MSM\0001368,Dominus a dextris tuis
IT\ICCU\MSM\0001487,Domine Fili
IT\ICCU\MSM\0001489,Domine Deus
IT\ICCU\MSM\0001490,Domine Deus
IT\ICCU\MSM\0001491,Domine Deus
IT\ICCU\MSM\0001401,Andante
IT\ICCU\MSM\0001414,"""Preghiera"""
IT\ICCU\MSM\0001468,"Dominus a dextris, Iudicabit"
IT\ICCU\MSM\0001469,"Donec ponam, Virgam virtutis"
IT\ICCU\MSM\0001472,Iuravit
IT\ICCU\MSM\0001514,Laudamus
IT\ICCU\MSM\0001407,"""Preghiera"""
IT\ICCU\MSM\0001527,Kyrie
IT\ICCU\MSM\0001530,Gloria
IT\ICCU\MSM\0001543,Qui tollis
IT\ICCU\MSM\0001544,Quoniam
IT\ICCU\MSM\0001463,De torrente
IT\ICCU\MSM\0001556,Virgam virtutis
IT\ICCU\MSM\0001633,Sognando...
IT\ICCU\MSM\0001576,Saluto mattutino
IT\ICCU\MSM\0001773,Introito
IT\ICCU\MSM\0001774,Introito
IT\ICCU\MSM\0001775,Introito
IT\ICCU\MSM\0001776,Introito
IT\ICCU\MSM\0001777,Introito
IT\ICCU\MSM\0001778,Introito
IT\ICCU\MSM\0001779,Gaia istoria
IT\ICCU\MSM\0000031,Per pietà vezzosi rai
IT\ICCU\MSM\0000032,Sento al cor
IT\ICCU\MSM\0000033,Se il labbro nol dice
IT\ICCU\MSM\0000035,La destra ti chiedo
IT\ICCU\MSM\0000036,Lascia pur l'ingiusto affetto
IT\ICCU\MSM\0000038,Negli Elisi ombra onorata
IT\ICCU\MSM\0000039,Cosa vedo il mio cervello
IT\ICCU\MSM\0000040,Lena bella Lena cara
IT\ICCU\MSM\0000041,Ne'giorni tuoi felici
IT\ICCU\MSM\0000042,quelle pupille tenere
IT\ICCU\MSM\0000110,Sono afflitta pastorella
IT\ICCU\MSM\0000111,Veggo da quella cera
IT\ICCU\MSM\0000112,Più Bianca di giglio
IT\ICCU\MSM\0000119,Ah qual orror funesto
IT\ICCU\MSM\0000120,Stretta dell'Introduzione
IT\ICCU\MSM\0000021,Da quelle lagrime
IT\ICCU\MSM\0000022,Sì mia vita in questo amplesso
IT\ICCU\MSM\0000037,Sento in lasciarti oh Dio
IT\ICCU\MSM\0000171,L'umile mammoletta
IT\ICCU\MSM\0000172,Per quel paterno amplesso
IT\ICCU\MSM\0000174,Sventurati affetti miei
IT\ICCU\MSM\0000175,Vedete guardate
IT\ICCU\MSM\0000176,Ah cara d'amore
IT\ICCU\MSM\0000177,Rendo grazie a tal favore
IT\ICCU\MSM\0000043,Qual sorpresa quale istante
IT\ICCU\MSM\0000044,Ma qual d'intorno celeste suon
IT\ICCU\MSM\0000045,"Ma la sola, ohimè! son io"
IT\ICCU\MSM\0000181,Signor la vostra vita sicura qui non sta
IT\ICCU\MSM\0000182,Ouverture ?
IT\ICCU\MSM\0000074,Attention attention notez
IT\ICCU\MSM\0000075,Cara con quelle lagrime
IT\ICCU\MSM\0000076,Agitato è in seno il core
IT\ICCU\MSM\0000077,Voi che il core a me vedete
IT\ICCU\MSM\0000078,Non so dir fra quanti oggetti
IT\ICCU\MSM\0000080,se mai turbo il tuo riposo
IT\ICCU\MSM\0000082,Sinfonia
IT\ICCU\MSM\0000083,Maritati poverelli
IT\ICCU\MSM\0000093,"Gelida man, tu tremi"
IT\ICCU\MSM\0000095,Pensa a serbarmi o cara
IT\ICCU\MSM\0000096,Ti lascio mio bene
IT\ICCU\MSM\0000097,Se mai più sarò geloso
IT\ICCU\MSM\0000099,REGGI O MIO COR
IT\ICCU\MSM\0000104,Conservati fedele
IT\ICCU\MSM\0000106,se mai turbo il tuo riposo
IT\ICCU\MSM\0000109,La Donna che è amante
IT\ICCU\MSM\0000241,Dolce sonno dolce oblio
IT\ICCU\MSM\0000113,Zitto io sento
IT\ICCU\MSM\0000114,Anima fella e cotta
IT\ICCU\MSM\0000115,Dammi la cara mano
IT\ICCU\MSM\0000116,Che colpo è questo mai
IT\ICCU\MSM\0000117,Oh!Mia diletta esclama
IT\ICCU\MSM\0000118,Che farò nel mio dolore
IT\ICCU\MSM\0000249,"Vorrei dirle, ingrata"
IT\ICCU\MSM\0000121,Nacqui all'armi
IT\ICCU\MSM\0000123,Con quell'addio di morte
IT\ICCU\MSM\0000124,Solo mi serba al pianto
IT\ICCU\MSM\0000125,Dà pace a tanti affanni
IT\ICCU\MSM\0000126,Mio ben ricordati
IT\ICCU\MSM\0000127,Con quelle tue manine
IT\ICCU\MSM\0000128,"Dammi la mano, o' bella"
IT\ICCU\MSM\0000129,AMORE MIO BELLISSIMO
IT\ICCU\MSM\0000130,Che palpito ojmè
IT\ICCU\MSM\0000131,La destra ti chiedo
IT\ICCU\MSM\0000132,E dolce le trombe cambiare co' sistri
IT\ICCU\MSM\0000133,"Ti sieguo, o bel desio"
IT\ICCU\MSM\0000134,Chi vive amante
IT\ICCU\MSM\0000137,Pensa a serbarmi o cara
IT\ICCU\MSM\0000138,Si ti credo amato Bene
IT\ICCU\MSM\0000139,se mai turbo il tuo riposo
IT\ICCU\MSM\0000145,Ne'giorni tuoi felici
IT\ICCU\MSM\0000146,Superbo di me stesso
IT\ICCU\MSM\0000147,Prendi un estremo amplesso
IT\ICCU\MSM\0000148,Chi m'insegna chi m'addita
IT\ICCU\MSM\0000149,Come m'inganno
IT\ICCU\MSM\0000150,A voi torno o sponde amate
IT\ICCU\MSM\0000153,Amato ben ti credo
IT\ICCU\MSM\0000155,"Se cerca, Se dice"
IT\ICCU\MSM\0000156,Viva Amina
IT\ICCU\MSM\0000023,Vincitor di lauri adorno
IT\ICCU\MSM\0000024,Non venni mai sì mesto
IT\ICCU\MSM\0000026,Nel lasciarti o Prence amato
IT\ICCU\MSM\0000027,Ah! non lasciarmi nò
IT\ICCU\MSM\0000028,Ah!  se ancor ti parla al core
IT\ICCU\MSM\0000029,"Deh, ritorni almen per poco"
IT\ICCU\MSM\0000178,Vi lascio addio restate
IT\ICCU\MSM\0000319,Cara nel tuo sembiante
IT\ICCU\MSM\0000320,Vieni se mia tu sei
IT\ICCU\MSM\0000322,Nume d'amor perdona
IT\ICCU\MSM\0000323,La morte in tale istante
IT\ICCU\MSM\0000183,Pria che di morte
IT\ICCU\MSM\0000326,Ouverture ?
IT\ICCU\MSM\0000327,Se pietoso amor tu sei
IT\ICCU\MSM\0000212,Ciel che mi leggi in petto
IT\ICCU\MSM\0000213,Oh gran Dio che mi vedeste
IT\ICCU\MSM\0000214,Gli basti il sangue mio
IT\ICCU\MSM\0000216,SE TI PERDO AMATO OGGETTO
IT\ICCU\MSM\0000217,Ah non lasciarmi bell'idol mio
IT\ICCU\MSM\0000219,Al soave vostro cenno
IT\ICCU\MSM\0000089,Ah spiegarmi in tal momento
IT\ICCU\MSM\0000221,Ah quante volte
IT\ICCU\MSM\0000224,Dal suo gentil sembiante
IT\ICCU\MSM\0000231,Sperai vicino al lido
IT\ICCU\MSM\0000232,Ouverture ?
IT\ICCU\MSM\0000234,Porgi amor qualche ristoro
IT\ICCU\MSM\0000235,Voi che sapete che cosa è amor
IT\ICCU\MSM\0000238,"Cara, non dubitar"
IT\ICCU\MSM\0000242,Sono Alcina e sono ancora
IT\ICCU\MSM\0000244,"Guardami, padre amato"
IT\ICCU\MSM\0000245,Per darvi alcun pegno
IT\ICCU\MSM\0000248,Già di vento freddo
IT\ICCU\MSM\0000394,In un mar di tante pene
IT\ICCU\MSM\0000251,Sarbabich din don sadoch
IT\ICCU\MSM\0000252,Prendi l'estremo addio
IT\ICCU\MSM\0000253,Sì domerò l'orgoglio
IT\ICCU\MSM\0000254,Si soffre una tiranna
IT\ICCU\MSM\0000261,Chi mai d'iniqua stella
IT\ICCU\MSM\0000262,O sposo adorato
IT\ICCU\MSM\0000264,Parla mio dolce amore
IT\ICCU\MSM\0000267,Si ai voti tuoi m'arrendo
IT\ICCU\MSM\0000268,Con quell'occhietto languido
IT\ICCU\MSM\0000269,Nel silenzio i mesti passi
IT\ICCU\MSM\0000135,Decisa é la mia sorte
IT\ICCU\MSM\0000136,"Guardami, padre amato"
IT\ICCU\MSM\0000270,Si sgomenti alle sue pene
IT\ICCU\MSM\0000271,Come vivere potrei
IT\ICCU\MSM\0000273,Viva il nostro don Crepazio
IT\ICCU\MSM\0000274,Mia speranza io pur vorrei
IT\ICCU\MSM\0000275,Quand'amistà secondi
IT\ICCU\MSM\0000142,In qual barbaro momento
IT\ICCU\MSM\0000281,Quanno voi v'arrosseggiate
IT\ICCU\MSM\0000151,Sperai vicino al lido
IT\ICCU\MSM\0000152,Sinfonia
IT\ICCU\MSM\0000287,Se sciolte son le tue catene
IT\ICCU\MSM\0000288,Dammi i frutti
